name,sex,sign,content
神州第一手办师女娲,男,一只不定期更新的大鸽子_(:з」∠)_$凉凉停尸群:681419801进来van啊(=￣ω￣=),这就是大航海时代吗？[蛆音娘_吃惊]
単推しさくらみこ,保密,虚拟单推人，所以DD是中之人,如同彗星一般登场的星之原石——星街彗星！$恭喜星姐DDD化啊啊啊啊啊啊啊！$$下面是星姐在首次3D直播中本人所看到的可爱点和歌单，电脑端点击时间可以直接空降，但建议全程看完再反复欣赏喲$（可能空降时间不够准确请自行调整哦！）$01:35  天球、彗星は夜を跨いで - 星街すいせい$06:11   自我介绍（今天彗酱今天也很可爱！）$06:52               快速转一圈$07:08               慢速转一圈$07:41                超可爱转圈$09:28  Neo stream - ワルキュ一レ(超时空要塞△)$14:23  Absolute 5 - ワルキュ一レ（超时空要塞△）$19:08  射手座★午後九時Don&#39;t be late - May&#39;n（超时空要塞F）$26:19               看不见的苹果汁$27:02  徒手变个超级好看的星街专属麦克风$29:05  共鳴世界の存在論 - 二宮飞鸟$33:38  Hotel moonside - 飯田友子$39:44  Daydream Warrior - Aqours$44:35  裙子被掀起来的星姐（吸了一口看不见的苹果汁）$45:34  知道自己3D直播在推特热搜上日本排名第一，世界排名第二的星姐$47:13                     转四圈$47:27               可爱的转圈圈$47:37                   少女坐姿$48:41   キラメキライダ一★- hololive IDOLPROJECT$53:58  comet - 星街すいせい（原创曲）$59:01   三月要发布的由星姐与音妹合唱的翻唱曲「エンゼルフィッシュ」$59:27  四月要发布的由星姐与三期生翻唱曲「佐贺事变」$61:23  累到跪下的星姐$$“如彗星般出现星Star之原石。我是虚拟偶像星街彗星。$$以至今为止积累的全部、以从现在开始积累的全部，向大家传达最好的音乐与舞台。$$无法忘却的瞬间、请与我共有吧！”
CutestMeow,女,自闭bot/音乐游戏玩家 $什么都有玩 但是什么都玩的不好 $入坑多 入坑浅的菜鸡一枚 $个人群 633797504,核聚变烤肉！$烤肉man的恩情我永远也不会忘记！！！！
我永远单推星街彗星jpg,保密,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,传说神回！！！！$3Dlive一小时，B站人气260w！！！$轮播11小时！一个晚上13.3w到15.3w！865彗星航队!!!$连续11小时虚空称霸榜一！！！$（真就什么V什么粉，都疯了[笑哭][笑哭][笑哭]）$404同接人数最高5.3w!!!$推特热度世界第一！！！$激光烤肉的字幕组NB！！！$星姐NB！！！[打call][打call][打call][打call][打call]$今日もかわいい！！！！
园田家海木木,保密,这里木木w【SONODA UMIKI】b站第一手残+b站第一辣鸡青铜qwq来自茶话会，感谢米娜的关心与支持,博观而约取，厚积而薄发——$昨晚看完星姐的3D感动之余，也想起了星姐的那句“我要让拒绝我的企业都后悔。”$yagoo你看到了吗，她，星姐，她在发光啊！$也正如狐狸的限界化发言“感谢彗酱能来hololive！”我也感谢没有最终拒绝掉星姐的运营桑，让我看到了一个这么耀眼的女孩子。星姐一直在坚持真的太好了，这不服输的性格是真的让人着迷。$不过虽然我很喜欢星姐，但看到星姐这么多gachi是完全没想到的，dd们甚至半夜三四点还在直播间狂欢，也成就了一代传奇的星河舰队【笑$接下来，请大家和我一起喊$1—2—$彗酱今天也很可爱！$（就算我dd了，被钉在别的女人的直播间里，我也要用单推的声音呐喊出：星姐，永远滴神！【下略）
蒾纞·,保密,噗叽～$接下来，我也要给大家表演魔术$ಠ_ರೃ取下眼睛~$ಠ_ಠ再装上去~$ರೃ_ಠ再取下另一只~$ಠ_ಠ再装上去~,一个小时3D初配信 全程个人live$在b站$$涨了1.4w粉$$涨了600左右舰长还有无火佬的一个总督，达成773星际舰队，下播之后还在涨$$人气节节攀升最高263多万$$未开播已是榜二，开播后成为榜一，直到下播甩榜二接近两亿金瓜子$$404巅峰同接有5.6w超过憨憨龙的4w记录，也涨了不少粉$$推特趋势在开始不久就是日本第一世界第二，$快结束时成为世界第一$$404和b站的礼物不计其数，简直就是下雨一样$$在下播后直播间还有很多人逗留，虚空直播仍然有人虚空送礼物上舰长，一直在榜上，下播之后的一个小时还是第一，十二点之后的九小时蝉联榜一$$在一点多从下播的14.7w粉丝涨到15w粉丝$$在第二天早上后，已经15.3w，并达成865舰队，（千人舰队指日可待）到十点还是榜一（适当就好）星咏者们还在狂欢！这都和粉丝们的努力离不开联系！（果然什么样的v就有什么样的。。）$$星姐这一个小时的每一个成就都是惊人的！这么长时间的奋斗终于迎来了回报，可以说是成就传说了，这是一个新的开始，希望星姐以后会越来越好啊！我永远喜欢星街彗星.jpg$$恭喜我们的六边形战士进化为$六  面  体  战  士!$星姐加油！$live NB！$今天也很可爱！$$星姐说过要让拒绝过她的公司后悔，如今，她做到了，她创造了传说$$“我绝不认输，因为我是星街彗星，彗星般登场的星之原石”
Mr_Vergil,保密,任何事情都不能轻易忽略，凡事皆有重大的意义存在。,星咏者一开始因为星街彗星的目的所感动，他们在当前的偶像活动中代表着厚实的中坚力量。在开始，星咏者只是一个微不足道的称号，星街彗星也不曾出名，但是并不因此放弃他们对美好的梦想的追求和对偶像的支持。进入了INNK以后，星街彗星本该属于Hololive的一员，但是并非正式的成员，就算是这样，他也没有因此消沉或是放弃，因为这样就意味着失败。【我当真是Hololive的一员？】，哪怕有着这样的那样的恐惧和疑问，她也不曾失去自己的信心，而且积极地参与活动，有了自己的原创曲。她终于成为了Hololive所属，她就这样和本社的朋友们一起努力，踏上了属于她自己的【光明之路】。星咏者一分钟也不忽略她的任何一次歌回，一次联动，一次杂谈，以便于更加清晰的观察到她成长的轨迹，以便于更加努力的支持她成为她想要的存在，以便于更加相信她能够到达那个遥不可及的。星咏者把主要注意力集中在每一次重大突破，原创曲和Live上，她每次到这个时候都是处于一个非常时期，因为和之前的她相比真的是成长了太多太多，她会在更多星咏者的支持下，拥有更加强大的力量去实现自己的梦想，因而每一次重大的突破时都会有无数人为之而欢呼，为之而喝彩。总之，星咏者们现在到处都是，哪怕平时很难看到她的直播的也是。在她的成长历程中，他们都强调无论如何都会支持她，不管她最后是成功还是失败，一如既往。最后，星咏者们到处都在努力让更多人能够了解她。星咏者不屑于隐瞒自己的观点和意图，他们公开宣布：他们的目的只是想静静地看着彗星降临的全过程。让世界都能够听得到她的歌声吧。星咏者不曾会在这一次成长经历中失去什么，无论是他们和她，获得的将是整个世界。全世界的星咏者，联合起来！
出生就是单推dd,保密,星街彗星单推人 今天是单推蓝发大姐姐的第 13 天       ,小 心 星 咏 者$yysy，星咏者是真的有钱，睡觉时是虚空榜一，起床了还是虚空榜一，10多个小时了直播间没停过$果然什么样的v就有什么样的粉丝$8愧是国际偶像，我单推了
星街彗星一生推,男,加油啊，蓝发的神经病猩猩炸鸡块大姐姐,昨晚看星姐3d感动落泪的人数$⬇
梨子君12138,男,,激光烤肉啊
