link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av40167750?from=search,【卢本伟】55开29杀吃鸡1080P完整版,173.0万,1.2万,2019-01-07,Z君先生丶
https://www.bilibili.com/video/av31169936?from=search,【EXO】伯贤世勋吃鸡全程—双视角全8场已更完（SM超级偶像联赛）,57.2万,2.1万,2018-09-06,lisiti133
https://www.bilibili.com/video/av20487419?from=search,绝地求生：0.001%的几率，两大吃鸡主播排到一起，真是奇迹,413.8万,2753,2018-03-07,修仙不倒大小眼
https://www.bilibili.com/video/av92189698?from=search,狙击手麦克：3人小队正式成立！强悍挑战用玛莎拉蒂吃鸡，刺激！,23.5万,1957,2020-02-28,狙击手麦克
https://www.bilibili.com/video/av52556415?from=search,小学生19杀逆天吃鸡！战强敌沉着冷静 秀操作波澜不惊,39.1万,6254,2019-05-15,当意即妙
https://www.bilibili.com/video/av92069455?from=search,人机9527：挑战用炮楼物资吃鸡，居然有三级套，粉丝：还有信号枪呢,3.2万,211,2020-02-27,人机9527来了
https://www.bilibili.com/video/av71197932?from=search,两年前我被追8分钟的吃鸡视频火了！热度过了，我终于可以自己发了！,348.0万,1.3万,2019-10-14,涛弟啊
https://www.bilibili.com/video/av93002060?from=search,废品站捡了一台吃鸡电脑？,1.4万,562,2020-03-02,幻想实验室
https://www.bilibili.com/video/av92948511?from=search,狙击手麦克：最硬核带妹吃鸡！带着杰西杀入敌阵，无惧4人小队！,14.5万,971,2020-03-02,狙击手麦克
https://www.bilibili.com/video/av91705035?from=search,苟哥不愧是我狗哥，吃鸡太萌了～（直播超清完整版）兄弟们冲冲冲！持续更新中,5.8万,252,2020-02-26,卧床男孩
https://www.bilibili.com/video/av92911665?from=search,Minecraft【麦块】YouTube上最屌的【吃鸡小队】!! 梦幻战队【神 x 路 x 白 x 羽】Kar98狙击【一枪一只】!! 全字幕,28.9万,1.2万,2020-03-02,阿神的Bili官方頻道
https://www.bilibili.com/video/av70157495?from=search,一分钟教你调整吃鸡鹰眼画质！官方外挂画面清晰不会封号,59.8万,729,2019-10-05,Stan李昂
https://www.bilibili.com/video/av84874004?from=search,狙击手麦克：机动兵之王！强悍挑战50杀吃鸡，敌人开麦说我牛B！,40.8万,5079,2020-01-24,狙击手麦克
https://www.bilibili.com/video/av89770606?from=search,人机9527：挑战用靶场物资吃鸡，粉丝：这里有信号枪,3.3万,210,2020-02-18,人机9527来了
