link,title,watch,bullet_chat,time,up
https://www.bilibili.com/video/av91399996?from=search,计算机仿真模拟疫情期间开学可能的后果,116.9万,4597,2020-02-24,九磅十伍便士
https://www.bilibili.com/video/av87639662?from=search,爆燃混剪！中国人这样抗击疫情！,29.8万,1366,2020-02-09,公安部新闻宣传局
https://www.bilibili.com/video/av92433763?from=search,【懂点儿啥32】韩国最大的“疫情”，就是他们的邪教,124.6万,6.0万,2020-02-29,观察者网
https://www.bilibili.com/video/av87676920?from=search,搜查十几天，我居然找到了疫情蔓延的原因！？,845.4万,3.4万,2020-02-09,温柔JUNZ
https://www.bilibili.com/video/av89323799?from=search,面对疫情的中国和美国,66.0万,7293,2020-02-16,冷风醉酒
https://www.bilibili.com/video/av91822864?from=search,面对疫情日本为何消极？中国真的太NB了,398.1万,4.3万,2020-02-26,不正经老丝
https://www.bilibili.com/video/av92245905?from=search,如果疫情在美国爆发，会发生什么？（对比自制H1N1时间线解析）,24.8万,2362,2020-02-28,NathanRich火锅大王
https://www.bilibili.com/video/av92145492?from=search,因日本疫情而看破红尘的UP主，用个人视角告诉你日本发生了什么，在发生什么，以及我们准备了什么。,19.9万,2491,2020-02-28,福冈阿苍
https://www.bilibili.com/video/av92453993?from=search,【日本疫情实报】紫酱在日本带你感受底层日本人民的恐慌,14.8万,653,2020-02-29,紫酱在日本-
https://www.bilibili.com/video/av86147955?from=search,被震撼到了！国外专家为中国应对疫情举措点赞！,42.2万,173,2020-02-01,虎符视频
https://www.bilibili.com/video/av92545730?from=search,【德国疫情将持续两年】全国70%被感染！检测量过多！,13.0万,565,2020-02-29,莱茵河小七
https://www.bilibili.com/video/av92658669?from=search,骁话一下：面对疫情日本为什么不取消奥运？带你算算政治经济社会三本账,82.2万,1.7万,2020-02-29,观察者网
https://www.bilibili.com/video/av92738676?from=search,金灿荣：新冠疫情给全球格局带来了哪些影响-2020.2.27直播回放（下）,9.6万,1031,2020-02-29,金灿荣频道
https://www.bilibili.com/video/av92534940?from=search,【罐头】疫情之下日本又出状况了呀啊啊啊啊啊！,52.5万,3462,2020-02-29,罐头君Kanzume
https://www.bilibili.com/video/av86403071?from=search,法国人在佛山：要是这疫情在法国爆发，恐怕乱套了,9.2万,53,2020-02-03,化学本子
https://www.bilibili.com/video/av84803200?from=search,毒媒体挖坑追问疫情，钟南山用粤语回怼,282.9万,895,2020-01-24,广东共青团
https://www.bilibili.com/video/av92530372?from=search,日韩疫情大爆发 为啥不抄中国作业？,4.9万,441,2020-02-29,闲鱼lcat
https://www.bilibili.com/video/av92350193?from=search,面对新冠肺炎疫情 法国总理：已额外订购2亿个口罩,8.0万,120,2020-02-28,小央视频
https://www.bilibili.com/video/av92084670?from=search,这次疫情让全世界都明白了中国的重要性,12.9万,72,2020-02-27,绝世好男8888
https://www.bilibili.com/video/av92250149?from=search,金灿荣：新冠疫情对全球格局带来了哪些影响？2020.2.27直播回放（上集）,25.2万,6274,2020-02-28,金灿荣频道
https://www.bilibili.com/video/av88181909?from=search,特朗普：中国非常专业 他们很快就会控制住疫情,92.0万,1789,2020-02-11,观察者网
https://www.bilibili.com/video/av92383886?from=search,英国老爷爷在温州的新冠疫情下的生活,3.4万,39,2020-02-28,胡思爱乱想
https://www.bilibili.com/video/av92530101?from=search,意大利爆发疫情的第八天，我怕了，我戴口罩了，我摊牌了！vlog6,9.2万,550,2020-02-29,阿栾LUAN_xy
https://www.bilibili.com/video/av92421050?from=search,金灿荣：新冠疫情对全球格局带来了哪些影响？2020.2.27直播回放（中）,12.8万,1565,2020-02-28,金灿荣频道
https://www.bilibili.com/video/av91681220?from=search,疫情下，明星大批出国避难，谈畸形追星、扭曲饭圈,40.2万,1246,2020-02-26,一只美短啊
https://www.bilibili.com/video/av93146829?from=search,雷探长参观沙特博物馆被问起疫情，新闻报道当地人觉得很夸张？,2.9万,410,2020-03-02,冒险雷探长
https://www.bilibili.com/video/av91894417?from=search,与其他国家相比，中国处理疫情的速度与决断令人可怕，我喜欢听这个姐姐讲话,97.2万,4015,2020-02-26,警界君
https://www.bilibili.com/video/av87571942?from=search,【眉山论剑】这次疫情带来的教训：“层层上报”耽误了最佳时机,84.5万,7636,2020-02-08,观视频工作室
https://www.bilibili.com/video/av92048975?from=search,【业余毁三观】宗教信仰是一把双刃剑，日本韩国在疫情期间的秘制操作是否殃及池鱼,10.8万,656,2020-02-28,玉虚龙宇君的小号
https://www.bilibili.com/video/av87124134?from=search,疫情爆发，那些选择留在中国的外国人，现在怎么样了？,31.0万,3534,2020-02-06,和之梦放送
https://www.bilibili.com/video/av92081296?from=search,钟南山：疫情不一定发源在中国,49.4万,387,2020-02-27,央视新闻
https://www.bilibili.com/video/av91953765?from=search,疫情爆发期，近七成明星出国旅游，连一线大腕都难幸免，真可悲,7.3万,58,2020-02-27,我是松子哥
https://www.bilibili.com/video/av91347259?from=search,疫情有点急？意大利：不妨碍万人打“橙”一片,30.4万,1093,2020-02-24,小央视频
https://www.bilibili.com/video/av79261306?from=search,历史上传染病有多可怕？了解下当年的疫情黑死病【思维实验室】25期 鼠疫 黑死病,492.0万,5.2万,2019-12-16,思维实验室
https://www.bilibili.com/video/av86636341?from=search,不同人眼中的肺炎疫情,205.5万,1.6万,2020-02-04,Kevin英语情报局
https://www.bilibili.com/video/av87296026?from=search,外国妹子上传视频到油管，打破外媒对中国疫情的谣言,29.4万,1465,2020-02-07,PopMatta
https://www.bilibili.com/video/av88533759?from=search,张雨剑:他妈的 我笑疯了 疫情过去 我又要过气了 唉！ 哈哈哈哈笑死我了神神叨叨,269.2万,9464,2020-02-12,猫猫奶
https://www.bilibili.com/video/av93074556?from=search,工作人员担心疫情拒绝上班 卢浮宫被迫闭馆,24.9万,295,2020-03-02,观察者网
https://www.bilibili.com/video/av87840997?from=search,中国人是这样抗击疫情的！,70.1万,3245,2020-02-09,湖南共青团
https://www.bilibili.com/video/av92228215?from=search,2020年2月27日日本新型肺炎疫情汇总报告,1.3万,24,2020-02-28,PON_CH
https://www.bilibili.com/video/av91653756?from=search,韩国疫情爆发！政府着急，人民还不着急？,99.4万,6805,2020-02-25,韩国东东
https://www.bilibili.com/video/av88923301?from=search,疫情区医生的日常厉害啦，试了一下确实不行,43.1万,72,2020-02-14,超级可爱的机灵鬼
https://www.bilibili.com/video/av92813862?from=search,「疫情之下」在英国的Costco超市屯粮竟然被黑人大妈背后骂病毒？,17.7万,486,2020-03-01,Master蛋_
https://www.bilibili.com/video/av93104888?from=search,英国首相：我们有重大的计划应对疫情,3.1万,0,2020-03-02,小央视频
https://www.bilibili.com/video/av91204053?from=search,美国”吹哨人“爆料CDC刻意隐瞒疫情！,58.3万,2539,2020-02-23,金灿荣频道
https://www.bilibili.com/video/av91900795?from=search,骁话一下：每百人6个被忽悠，引爆韩国疫情的奇葩邪教，为何如此猖獗？,150.6万,4.0万,2020-02-26,观察者网
https://www.bilibili.com/video/av92670708?from=search,【厉害】全球疫情之下，普通人将被颠覆的生活【金融故事06】,2.1万,962,2020-02-29,厉害财经
https://www.bilibili.com/video/av88061096?from=search,【巫师】疫情对经济的影响：专题报告【巫师经济学03】,417.0万,5.6万,2020-02-11,巫师财经
https://www.bilibili.com/video/av92070308?from=search,韩国疫情告急文在寅，效仿中国准备封城。,13.8万,194,2020-02-27,weizhuozhuo
https://www.bilibili.com/video/av89330859?from=search,【懂点儿啥30】中国的疫情，让我们再次看到外媒的毫无底线,41.5万,1.6万,2020-02-16,观察者网
https://www.bilibili.com/video/av92022821?from=search,一次疫情让这些发达国家看到，什么是强大的中国力量,1.4万,36,2020-02-27,bili_22651731483
https://www.bilibili.com/video/av92197546?from=search,【眉山论剑】这一次疫情，提醒我们中国人不能丢了战备思维,47.6万,5549,2020-02-27,观视频工作室
https://www.bilibili.com/video/av92363593?from=search,多国领导人就疫情向中国表态，普京：相信中国！,17.8万,1962,2020-02-28,广东共青团
https://www.bilibili.com/video/av93090822?from=search,日本僧侣赤身当头浇水，祈祷疫情早日结束,17.7万,554,2020-03-02,观察者网
https://www.bilibili.com/video/av90145070?from=search,新加坡部长涉疫情录音泄漏，信息量太大，香港中招,183.8万,5810,2020-02-19,观察者网
https://www.bilibili.com/video/av92917530?from=search,疫情期老人连续数日没有音讯 民警爬窗进屋被眼前一幕吓到,5.6万,20,2020-03-01,腾讯新闻搬运工
https://www.bilibili.com/video/av92928402?from=search,韩国疫情|对不起 我给中国人丢脸了，我怕死 TT 但我真的不能回国，家人有手术史,2.4万,417,2020-03-01,南韩八妹
https://www.bilibili.com/video/av87325478?from=search,由于疫情严峻 昨天被老婆打后她一直不肯送我去医院,95.9万,116,2020-02-07,老婆爱吃巧乐兹
https://www.bilibili.com/video/av90357668?from=search,疫情期间，不要减肥！不要减肥！不要减肥！,89.0万,714,2020-02-20,广东共青团
https://www.bilibili.com/video/av92563367?from=search,意大利疫情爆发第七天！人数持续上涨，官方为了减少恐慌，只公布严重患者人数，以及死亡人数。目前最后更新确诊人数为933例,2.9万,99,2020-02-29,意大花
https://www.bilibili.com/video/av92559957?from=search,疫情Vlog|韩国现状|同机发热集中隔离,2.3万,132,2020-02-29,Sunruarua
https://www.bilibili.com/video/av91911954?from=search,【韩国疫情】韩国大邱人怎么看疫情爆发,30.9万,2811,2020-02-26,韩国机票비행기표
https://www.bilibili.com/video/av92587060?from=search,联合国秘书长发表声明：控制疫情的窗口期正缩小,2.6万,19,2020-02-29,小央视频
https://www.bilibili.com/video/av92308359?from=search,日本疫情新情况今日份儿vlog，最后有重要调查结果，吓尿级信息。今夜大家都在抢厕纸，只有我很淡定，看破红尘了，我摊牌了,95.1万,6888,2020-02-28,东京大明白
https://www.bilibili.com/video/av91828801?from=search,新冠病毒笼罩下的韩国已水深火热|韩国人对待疫情的态度,13.2万,807,2020-02-26,woo于于
https://www.bilibili.com/video/av90222016?from=search,疫情时期的海外华人到底经历了什么？｜新冠肺炎,131.8万,2.7万,2020-02-20,歪果仁研究协会
https://www.bilibili.com/video/av92176317?from=search,外交部：韩日抗击疫情，中国不会缺席,23.0万,291,2020-02-27,共青团中央
https://www.bilibili.com/video/av92545444?from=search,肺炎疫情当前，日本韩国意大利等五国的应对措施可以打几分？对比方知祖国好！,1.6万,39,2020-02-29,英灵不朽李振藩
https://www.bilibili.com/video/av92603088?from=search,日本疫情升级，终于出新对策，日本工作小姐姐还是表示深深担忧,1.6万,74,2020-02-29,粉柠檬呀在东京
https://www.bilibili.com/video/av91214409?from=search,武汉街头路遇兔子狂奔：像极了疫情过去之后的大家,12.1万,103,2020-02-24,是牧羊女
https://www.bilibili.com/video/av92943523?from=search,【韩国记录】疫情下的3月1日，我的小区突然好安静，有一种莫名的担心/购买垃圾袋/公园没人,2.8万,180,2020-03-01,李朴频道LPCH
