link,title,game,anchor,hot,tags
https://www.douyu.com/748396,【林蒙】进来学技术,王者荣耀,林蒙m,159.1万,娜可露露鲁班代言人
https://www.douyu.com/1203352,蒂花之秀所到之处灰飞烟灭,王者荣耀,BOA小强,130.9万,国服最强马可波罗
https://www.douyu.com/3014399,吴国射和长城射的较量。,王者模拟战,甄知棒,79.5万,国服第一甄姬
https://www.douyu.com/3125893,单排百星！做大做强！,王者荣耀,少年不太冷Rex,57.4万,有礼貌的国服第一孙尚香
https://www.douyu.com/4350043,每日必看公孙离 赏心悦目,王者荣耀,守护丶遇见美好,44.4万,斗鱼第一个101星
https://www.douyu.com/7752555,最萌嬴政，暴力上分,王者荣耀,香梨宝宝,2.9万,
https://www.douyu.com/5395900,三飞流哪吒+刘邦+瑶 无限抓射手解除网瘾,王者荣耀,A老回,139.8万,最强黑科技打法创始人
https://www.douyu.com/4708176,国服马超:打野马超把把秀,王者荣耀,笨笨沐汐,5.3万,
https://www.douyu.com/7349106,万场3指马可,王者荣耀,BOA杭杭,58.4万,国服最强玄策阿轲露露
https://www.douyu.com/998,2019KPL春季赛 经典回顾,王者荣耀,王者荣耀官方赛事,98万,斗鱼王者荣耀官方赛事
https://www.douyu.com/1648923,模拟战教学 上分套路,王者模拟战,QG焦太郎,43.7万,最强九星连珠
https://www.douyu.com/5553907,vx区轻松上王者,王者荣耀,老月佬,7.3万,
https://www.douyu.com/17665,吴国射强无敌教学来了,王者模拟战,eStarPro易老湿,38.4万,模拟战金牌导师
https://www.douyu.com/6013549,国服露娜；带粉重拳出击,王者荣耀,白茶atto,8.3万,国服最强露娜
https://www.douyu.com/258718,国服万场猴王，吉吉国王杀疯了！！！,王者荣耀,国服万场猴王宅哥,37.6万,国服万场猴王
https://www.douyu.com/2433239,李白露露专场 带粉5排！,王者荣耀,可爱的灰太白,35.5万,斗鱼第一连胜李白
https://www.douyu.com/1038538,全网第一萌犽是这么打,王者荣耀,黄雀1691,25万,百星大神新英雄打法开拓者
https://www.douyu.com/5742037,百星野王在线带飞！！！,王者荣耀,星辰丶rr,11.6万,
https://www.douyu.com/221741,国服后裔五排养猪难输一局,王者荣耀,渝万五百狸子3岁,53.8万,献祭流雅典娜创始人
https://www.douyu.com/1121443,村服吕布;单排荣耀局，秀翻全场！！,王者荣耀,八神君Lpp,53.3万,国服单排百星吕奉先
https://www.douyu.com/5103806,狂暴铠王：安排国服最后冲,王者荣耀,皇玺丶Fly高一刀,34.9万,国服第一电刀铠创始人
https://www.douyu.com/7129236,国服司马懿，带粉上荣耀,王者荣耀,HK提笔,31.3万,国服最强司马懿
https://www.douyu.com/5328672,微信区钻石星耀带粉,王者荣耀,年少有梦啦,30.7万,幸福村第一韩信
https://www.douyu.com/6703968,王者峡谷全阵容教学基地！,王者荣耀,Mars丶命运丨,30.1万,王者峡谷趣味中单
https://www.douyu.com/7999661,国一打野狼狗：带粉5排99胜率,王者荣耀,屿秋秋秋秋,30万,国服最强孙尚香
https://www.douyu.com/1023540,每天上午10点左右集合,王者荣耀,腾龙族灬油腻大叔,28.5万,
https://www.douyu.com/4291405,国服后羿伽罗带粉！！,王者荣耀,阳神丶国服后羿梦奇,28.3万,三个国服最强梦奇
https://www.douyu.com/4499474,第一李白 王者局教学1v9,王者荣耀,电竞信白丶,27.7万,国服最强李白
https://www.douyu.com/5355695,26以上打不过？五排不存在的,王者荣耀,雪碧丶国一狄仁杰后羿,26.5万,国服第一，万战狄仁杰
https://www.douyu.com/1294569,77星射手单排冲101,王者荣耀,毕竟是柚子,26.4万,万分阿珂王者百星
https://www.douyu.com/5146843,第一露娜 死3次随便喷,王者荣耀,月下无限连小啊鹏,25.7万,光速秒人，三指露娜创始人
https://www.douyu.com/5162080,带粉99胜率飞机王者,王者模拟战,滚石丶橙子,24.4万,全能英雄王者选手
https://www.douyu.com/6584927,国一刘备带人五排难输一盘,王者荣耀,刘皇叔是个弟弟,23.4万,国服最强声控刘备
https://www.douyu.com/7614288,百星猴王，QQ微信带粉百分百胜率！,王者荣耀,风度翩翩丶至尊宝,23万,荣耀百星孙悟空
https://www.douyu.com/1667374,橘子 马超 老虎专场 带粉上荣耀！,王者荣耀,木木爱吃橘子,21.7万,13个赛季天梯榜一
https://www.douyu.com/7001797,国服第一李白进来学技术,王者荣耀,月中仙丨,21.2万,国服第一李白
https://www.douyu.com/4811293,国一典韦带粉99胜率,王者荣耀,小宗阿,21.1万,国服最酷典韦
https://www.douyu.com/2240693,无偿带粉五排办卡优先,王者荣耀,於爱闹,20.7万,全网全能打野
https://www.douyu.com/7380055,你的马超鸭：100胜率带粉中,王者荣耀,听风贼帅,20.1万,国服最强韩信、国服最强百里玄策
https://www.douyu.com/6583631,带粉冲荣耀 80连胜带粉 飞机包车,王者荣耀,菊花666丶,18.7万,国服百星阿珂
https://www.douyu.com/5175512,没有撤退可言！ 5175512,王者荣耀,兽大王啊,18.5万,最强王者兰陵王
https://www.douyu.com/7869855,国服玄策高星五排带粉,王者荣耀,小梦0v0,18.3万,国服榜首玄策孙尚香
https://www.douyu.com/1146975,【卡布】国服孙尚香视听盛宴！细腻！舒服！,王者荣耀,机智的卡布君,17.7万,国服最暖声优孙尚香
https://www.douyu.com/6497284,微信区 双百星 荣耀局掌控雷电 带粉上车,王者荣耀,晚安手撕面包,17.2万,国服最强玄策，娜可露露
https://www.douyu.com/7536062,国服插秧妹儿冲荣耀40-50~,王者荣耀,颖姐姐丶,17.1万,国服第一女马超
https://www.douyu.com/809379,斗鱼最高胜率带粉语音教意识,王者荣耀,逗哥不是胖子吖,16.7万,国服第一梦琪
https://www.douyu.com/7672810,国服百星野王 带粉丝飞,王者荣耀,雨晨in,16.2万, 国服最强娜可露露
https://www.douyu.com/4441235,国服三枪韩信细节教学带粉26以下随意屠杀,王者荣耀,半阳a,16.1万,国服最强韩信
https://www.douyu.com/3401944,小号变化万千专场！,王者模拟战,耶律大花,15.9万,模拟战刺客流派大师
https://www.douyu.com/4589896,新主播关注一下吗,王者荣耀,小仙儿不菜啊,15.8万,
https://www.douyu.com/809712,吉吉国王在线带粉 王者人机猴子 晨风猴子,王者荣耀,盖世英雄晨风,15.7万,国服至尊宝出装大师
https://www.douyu.com/7641340,青青:第一诸葛 场均15杀,王者荣耀,青青阿i,14.7万,国服最强露娜
https://www.douyu.com/4926098,万场国服公孙离 三飞机圆你荣耀梦,王者荣耀,离木呀,14.6万,国服最强万战公孙离
https://www.douyu.com/3773232,双国服赵云教学解说,王者荣耀,温存存存c,14万,百星国服最强赵云
https://www.douyu.com/105415,双国服五排无敌车,王者荣耀,刘小备105415,13.5万,国服最强万战刘备
https://www.douyu.com/8112904,百星野王带粉狂魔,王者荣耀,尼可Vv,13.1万,
https://www.douyu.com/1037792,电竞萧亚轩，请赐教,王者荣耀,九命米粒阿丶,12.8万,百星国服橘右京
https://www.douyu.com/5631057,不是你喜欢的声优木,王者荣耀,北木木木木丶,12.2万,国服最强娜可露露
https://www.douyu.com/3884440,国服后裔微信五排带粉,王者荣耀,渝万丶野肆,12.1万,国服最强刘备
https://www.douyu.com/1974278,双区带粉的小姐姐,王者荣耀,最甜的番茄呀,11.7万,荣耀女司马懿
https://www.douyu.com/6693324,声控进 有车位,王者荣耀,追梦丶梦然,11.2万,国服第一暖男
https://www.douyu.com/540357,单排75上80.来点饭恰,王者荣耀,南斗,10.9万,国服路人王南斗
https://www.douyu.com/5646452,三指七国服野王带粉，一场视觉盛宴。,王者荣耀,勉强不是弟弟,10.8万,百星荣耀王者
https://www.douyu.com/5098459,eStar周冬冬冲击国服第一,王者模拟战,eStarPro周冬冬,10.7万,
https://www.douyu.com/694688,白虎玄策陪玩专场 办卡上车全天飞机包车,王者荣耀,良辰打野贼6丶,10.6万,国服最强百里玄策
https://www.douyu.com/6461602,2100分云中君打表现分,王者荣耀,独孤小肥鱼i,10.5万,国服榜首阿珂
https://www.douyu.com/7706327,百星野王光速带粉有车位,王者荣耀,阿亦不撩妹,10.5万,
https://www.douyu.com/2188907,国服后羿扣扣区冲40星,王者荣耀,激哥后羿,10.1万,国服最强后羿
https://www.douyu.com/4505400,"带粉2拖3,T0狂暴后裔,飞机上王者",王者荣耀,渝万丶伊芙琳,10.1万,国服最强后羿
https://www.douyu.com/2086735,李白专场单排光速51-101,王者荣耀,GS丶彧胤,10.1万,诗仙李白人剑合一
https://www.douyu.com/5498485,国服后羿，细节教学,王者荣耀,安乐珺,9.8万,国服最强后羿
https://www.douyu.com/8064170,请尽情吩咐妲己，主人~~~,王者荣耀,性感小野猫mua,9.8万,
