link,title,game,anchor,hot,tags
https://www.douyu.com/3652542,【橙子】猛男场均52杀单人四排无敌战神！,绝地求生,神秘嘉宾橙子,195.8万,绝地第一钢枪吃鸡王
https://www.douyu.com/4662094,【小艺】天赋型选手！,绝地求生,小艺mia,8.1万,百变声优主播
https://www.douyu.com/70002,"小蓝在线,(｡･∀･)ﾉﾞ嗨起来",绝地求生,蓝战非OvO,114.4万,四小天盒-热血正义蓝战非
https://www.douyu.com/78561,雪龅突击队：今天12点开播,绝地求生,妃凌雪,105.2万,超级明星
https://www.douyu.com/5384600,【骚某某】不杀10个举报小骚,绝地求生,我是骚某某,104.6万,单排击杀王
https://www.douyu.com/699689,狗狐狸：首席鉴挂师！,绝地求生,狐狸不太Sao,68.7万,百变声优主播
https://www.douyu.com/296059,你们的沧桑男孩,绝地求生,4AM王欣,67.6万,4AM战队成员
https://www.douyu.com/100,重播【奇迹星周末】 2.29号 17点,绝地求生,斗鱼绝地赛事,56.2万,斗鱼绝地官方赛事
https://www.douyu.com/687423,你们的好朋友。YJJ,绝地求生,yjjimpaopao,54.5万,全能FPS大师
https://www.douyu.com/69190,【令北】热爱艺术的年轻人,绝地求生,正经人令北,51.4万,四小天盒-绝地喷王令某人
https://www.douyu.com/60606,普朗东：我吃鸡，你吃饭,绝地求生,普朗东丷,46.3万,绝地颜值担当
https://www.douyu.com/2984807,卡拉金战神 猛男求饶,绝地求生,Swatermelonwzh,5.4万,
https://www.douyu.com/89466,周末1.2倍亲密度快来升牌子啦~,绝地求生,我就是图图阿,42.2万,四小天盒-绝地女魔头图图
https://www.douyu.com/6555838,你好，我叫浪某某。,绝地求生,我叫浪某某,4.1万,
https://www.douyu.com/122943,夏洛克：这主播的狙太假了,绝地求生,你好我是夏洛克,41.6万,单排狙击王
https://www.douyu.com/7639276,【疯人院】主治医师—景天燚,绝地求生,景天燚,1.6万,
https://www.douyu.com/4251390,单人四排1v4落地不杀人请举报我,绝地求生,吴山人丷,41.2万,全服前三
https://www.douyu.com/6655040,菜阿姨在线教学！都是弟弟~,绝地求生,刚下凡的关阿姨,1.1万,
https://www.douyu.com/7205499,不以物喜，不以己悲 7205499,绝地求生,粉黄鸡,3.9万,
https://www.douyu.com/7651855,萌新主播-智慧与美貌无存,绝地求生,你的胖鹅yo,5636,
https://www.douyu.com/2461752,储备站之1VN男团大战,绝地求生,47号Gamer,40万,PUBG国内第一自由人
https://www.douyu.com/600389,渡劫啦~冲鸭~~,绝地求生,优雅酱o,38.8万,可爱女神
https://www.douyu.com/276685,【黄金大奖赛S8】决赛重播,绝地求生,黄金大奖赛,33.7万,斗鱼黄金大奖赛
https://www.douyu.com/508984,全网最强单排战术大师/8.2KD,绝地求生,主播八戒戒,28.8万,绝地钢枪大神
https://www.douyu.com/2456607,30kd魔幻主播 逮捕王~,绝地求生,狮子大魔王丶,28.3万,前职业钢枪女魔王
