link,title,game,anchor,hot,tags
https://www.douyu.com/312212,第一男刀：三级不单杀请举报主播，谢谢！,英雄联盟,智勋勋勋勋,235.9万,惩戒流男刀创始人     国服第一男刀
https://www.douyu.com/6488050,12点超级粉丝团冲！！！！,英雄联盟,旋转的老刘诺手,212.7万,世界胜率第一诺手 韩服第一诺手
https://www.douyu.com/1126960,余小C：思路清晰，我永钻1,英雄联盟,余小C真的很强,127.9万,前驴酱话事人 春节直播先锋
https://www.douyu.com/3567314,峡谷之巅冲第一，重拳出击,英雄联盟,王纪超666,110.9万,DCA挑战者A队 MID
https://www.douyu.com/1300804,云顶阴阳家王者1500分段上分教学！！！,lol云顶之弈,卷子丶,66.9万,云顶第一阴阳人 下次一定鸡
https://www.douyu.com/7670275,瑞兹王！三级必杀大师王者,英雄联盟,狼神丶欧阳,7.7万,上单雷霆瑞兹创始人
https://www.douyu.com/56040,油条:震惊!中单大虫子两万血!,英雄联盟,主播油条,108.7万,国服第一AP雪人
https://www.douyu.com/475252,进来看看无敌,英雄联盟,孙悟空丨兰林汉,93.3万,国服第一孙悟空
https://www.douyu.com/6879368,轰天裂地柳二梦,英雄联盟,柳二梦,4.1万,国服顶尖卡特琳娜
https://www.douyu.com/5171447,人均钻石大师直播间,英雄联盟,周三金丶,12.9万,峡谷全能王
https://www.douyu.com/673305,【陪看】英雄联盟经典赛事点播,英雄联盟,英雄联盟赛事活动专用,53.4万,斗鱼英雄联盟赛事活动官方直播间
https://www.douyu.com/14163,草莓：努力让自己变得更强,英雄联盟,草莓,46.6万,前职业选手  IPL5冠军
https://www.douyu.com/288016,14点训练赛JDGvsTES,英雄联盟,英雄联盟赛事,40.2万,斗鱼英雄联盟官方赛事
https://www.douyu.com/249813,游乐园理财~一区无限火力,英雄联盟,爷大干,34.9万,欢乐小浣熊 国服第一大发明家
https://www.douyu.com/888388,带小姐姐一起开车（打游戏）,英雄联盟,你的大湿兄zZ,32.3万,相声流最强王者狮子狗
https://www.douyu.com/7317145,锤石King:日常操作在线下饭,英雄联盟,锤石King丿,2.3万,功能型锤石教学
https://www.douyu.com/5781672,阿卡丽的神秘直播间,英雄联盟,cc張小白,4.1万,斗鱼秀操作阿卡丽
