no,comments
0,保质期：12个月 包装品质：挺好的 口感味道：好吃，很焦，皮可以一起吃，特别有味道 商品分量：500g 新鲜度：挺好
1,南瓜子刚收到，从日期上看是新的炒货，吃了感觉香脆，真是价廉物美，值得回购。五星好评！
2,原味南瓜子收到了，质量不错，各个饱满，味道不错！下次还在他家购买！
3,经常买憨豆熊的南瓜子，每天吃几把，有益健康，瓜子品质很好，颗大饱满，吃完还会买。
4,口感味道：憨豆熊南瓜子口感很好，我多次购买了。
5,好吃，满意还不错的啊，喜欢的朋友们可以下单的，分量也够的
6,瓜子饱满量足，口味也不错，值得推荐
7,亲货收到！我买的原味的，好吃😋到停不下来，香香的！还会继续光顾此店！
8,第二次购买了，五香南瓜籽味道好。老婆喜欢就好
9,憨豆熊南瓜子很好吃，我们买过多次了。尤其是现在疫情当前，特殊时期，物流还这么快，宅在家里也有零食吃了。
10,瓜子好吃，干净，颗粒饱满，这是我第三次买了
11,已经买第二次了，他家的瓜子仁饱满，质量不错。
12,包装完好，新型冠状病毒还能及时到货感谢厂家及物流，推荐购买。已是第三次购买了。
13,经常买这南瓜子吃，很喜欢这个口味的，吃完再来，
14,此用户没有填写评论!
15,此用户没有填写评论!
16,瓜子可以粒大好吃😋香脆可口
17,宝贝已收到啦！很好吃，满意度可以，好评满分在这里啦老板&hellip;&hellip;
18,南瓜子非常好吃，很香我巳经多次回购了，确实值得称赞。
19,瓜籽大非常好，味道好，下次还要在贵店购买！
20,口感味道：宝贝收到了，口感不错，简直停不下来，不小心就吃了三分之一袋了。吃完后再卖！
21,不错哦，南瓜子清清白白，质量很好，下次还会光顾的
22,口感味道：原味，日期新鲜。
23,疫情期间，收到宝贝，味道很好!谢谢老板的暖春。
24,大粒不大，原味的还带盐，火侯还可以，总的来说一般
25,口感还不错，服务也还挺蛮好
26,买的是原味、大片的，发的是五香、小片的，就连包装都是不一样！
27,物流在疫情时还这么快，味道很好
28,包装品质：包包装完美 口感味道：口味很好 新鲜度：挺新鲜
29,非常好吃，物美价廉值得购买
30,宝贝收到了，挺好的，颗颗饱满。
31,很好吃，份量足，快递也很快，下次还会买。
32,瓜子还行，不是我想要的那种，瓜子磕久了会上瘾，五星好评
33,很好吃，物超所值，下次还买！
34,打开立即尝了下，不错，值得回购。
35,很好吃，香脆可口，经济实惠。
36,不错，香，要多喝水，有只干
37,还算满意，不过我买的是原味的，吃出.来的就是咸味的，瓜子中有块石子
38,此用户没有填写评论!
39,保质期：新货 包装品质：漂亮 口感味道：香 商品分量：足 新鲜度：新货。
40,质量不错！
41,在这非常时期能正常收到快递，谢谢。外包装纸箱完好，谢谢快递小哥送货到小区。遗憾的是有一袋南瓜子口袋开封，一袋南瓜子全都撒在纸箱内，经过与贵店沟通，给以补偿，谢谢贵店对客户的负责态度。但是南瓜子不是所描述的大颗粒而是普通的不大颗粒（在其他店购买的大片南瓜子都很大）。
42,味道不错，非常喜欢这个品牌的瓜子，棒。
43,新鲜度：挺好，新鲜，颗粒大
44,很干净，没有坏的，有点点盐味，正好合适
45,在这家店铺买了好几次了，味道不错还会在来的
46,我已经买过他们店里好多东西了，价廉物美，真心不错，值得购买！
47,没想到物流会这么快，南瓜子也非常香！非常时期零食断顿多**，终于解馋了！
48,干净，匀称，香，价格实惠。
49,已经第两次买了，还是一样的好
50,收到了，笫一时间尝一尝，还是那么香，正宗香南瓜子
51,瓜子很香，会回购，客服泡泡熊也超棒～
52,宝贝收到，质量很好，将会再次光临。
53,味道不错，日期新鲜。
54,瓜子基本还好吃。
55,不错
56,宝贝收到，爪子粒粒包满味道也不错，下次会再光顾。
57,无损坏，玉饱滿，但颗粒细小。
58,挺好的，味道不错
59,瓜子保满，快递服务好，就是我要的是生瓜子，发成熟的了，下次注意，给你们一个好评吧。
60,返购物品。
61,宝贝收到非常好！已是老客户了，服务好，物流很快！
62,好多烂的，吃到嘴里发吐！
63,好吃下次还会来
64,不错可以购买
65,n次购买了，好
66,包装品质：邮政快递不负责任，把货扔在大门口，通知了一下，就不管不顾跑了，如物品不马上去拿，丢失了怎么办？这种不负责任的人怎么干好快递工作！
67,好吃
68,还说是大颗粒，真是大如麻子，与描述一点都不府。
69,可以吧！OK
70,此用户没有填写评论!
71,口感味道：口感很棒，第二次购买了。
72,一直在他家购买
73,东西很好，谢谢，好评。
74,很差，不如本地干果店的
75,发货及时，好吃。
76,宝贝收到，已买第二次了，很好吃，好评五星
77,此用户没有填写评论!
78,经常买 好吃的南瓜子
79,宝贝收到，满意
80,不错，很好。
81,好吃就是有点小
82,非常不错很干净，很好吃，就喜欢你家的瓜子，大爱。以后买瓜子就来你家了
83,发货非所要，也差也乱。
84,收到。还没开包。
85,此用户没有填写评论!
86,吃完了&hellip;
87,此用户没有填写评论!
88,粒大饱满味道不错👍就是快递有点忙
89,此用户没有填写评论!
90,分量很足，挺不错的，好评
91,刚收到，吃后评。
92,收货。口感不错！淘宝天猫购物就是方便。吃的，用的，全部在这里购买，隔几天就想买一次，价格也比实体店便宜，而且还有些优惠看到就买了。隔天就能送到，这样也方便，这里可以节约自己的时间。方便购物。
93,用欺骗手弹！来骗客户！说原味*大颗粒！来骗大价钱💰？明明是小颗粒？很不道德？要说实话！赚钱😍！要赚良心钱？
94,都好吃。口感很好。很香
95,此用户没有填写评论!
96,不错，爱吃，价格实惠
97,这瓜子太焦了，瓜子磕时外壳大部分会碎掉的，真不好！
98,此用户没有填写评论!
99,原味的还好，是第二次购买了，第一次很好，第二次五香味的像是受过潮一样，有股腐烂的味道，可能是回来灌装的，品质不稳定，已经开包吃过了也没法退，本人购买从来不评价，这是买给妈妈吃的，妈妈强烈要求给差评
100,宝贝跟描述大至相符，包装很好，发货挺快，物流很快，五星好评。
101,经常买，也不知道买过多少次了，喜欢你家这个瓜子。
102,好吃，子粒饱满，质量很好，下次再回购
103,味道非常好，香，包装特好，比大街上买的要好的多，还便宜
104,这次的瓜子有点陈啊，不香
105,小的南瓜子 还吃 是我想要的 吃完再买
106,南瓜子比较满意，吃完会回购！
