no,comments
0,佩戴感受：舒服 声音效果：极佳 外观材质：做工精湛，用料讲究。 特色功能：价廉物美
1,宝贝收到了非常满意很喜欢音质很好
2,东西挺好的，音质也不错，很满意，
3,耳机真的很棒棒啦，摸起来超级有质感，宝贝非常优秀，拿回来之后特别的满意，比图片上的还要好看，性价比特别高要赞一个！耳机造型设计很有特点，触感舒适，质感高级，是我想要的，戴着也非常好看，关键是耳机听歌效果很赞，
4,其实很着急用，在家办公原来的坏了。疫情期间也没办法。耳机线比较硬。上了几天班，偶尔会有点杂音，装耳机的盒子挺好的，小夹子也方便。耳机上的音量调整我不太会用，拖到减号就没有了声音。顺丰快运到的，总体很不错了。
5,耳机非常好，听起来低音炮效果非常不错，有3d环绕的感觉，总之感觉很爽。之前在这家店买过一次，觉得还不错。于是这次买了升级款的，耳机线更粗了，应该不容易坏，耳机偏小，适合人体结构，戴上之后感觉比之前那个舒适很多，不胀耳。调节音量推动设计很巧妙。
6,简约，小巧玲珑，简约白的耳机好看，很别致，听音乐效果不错，音质清晰，调节的功能挺多的，耳机头小小的，耳孔小的福音，戴在耳朵上牢固不易掉，真的没想到这个价钱可以买到那么好的耳机，音质真的很不错。
7,很不错 有电影大片的感觉
8,包装很好，耳机也没问题，一开始右耳机声音有点忽高忽低，然后我转了转插头，应该是一开始没接触好，后面就没什么问题啦，看看能用多久，我耳机都是消耗品，不久就得换了哈哈哈哈，如果好用就继续买这家啦。  耳机戴着，懒得拿下来了，反正也不会有色差哈哈哈哈，大家将就看吧
9,耳机非常好，听起来低音炮效果非常不错，有3d环绕的感觉，总之感觉很爽。之前在这家店买过一次，觉得还不错。于是这次买了升级款的，耳机线更粗了，应该不容易坏，耳机偏小，适合人体结构，戴上之后感觉比之前那个舒适很多，不胀耳。调节音量推动设计很巧妙，只不过调节的不是手机音量，范围是已经设置好的音量到静音。唯一有点美中不足的是，黑色这款的音量调节部分有个凸起的小点，不过不影响美观，整体很有质感。
10,佩戴感受：舒服 不炸音 声音效果：很好  已经不知道回购了多少次了 超级好用 这价能用四五个月 真的很值 个人觉得黑色的比白色的好用 所以买的时候都买一对黑的嘻嘻
11,挺好的。上回也是这个。可惜可能被我内部嘚断了。左耳失聪。于是我又买了俩，嘿嘿。这个调音量的甚和我心，尤其是英语考试，小一点才不会聋😂发货太快了，导致过了这么久才拿回来。总体来说就挺好哒。
12,用了挺久的，都挺好的。重点是什么，昨天这耳机在水里泡了三小时，拿出来已经不能听了。当时感觉就是肯定废了，赶紧甩水吹干，结果只有一边能听。然后自然晾干到现在，居然又能用了！哈哈哈，不错不错
13,耳机很棒的哟，非常不错的一款耳机，戴上去很轻巧，可以舒舒服服听音乐不会有杂音。长时间佩戴不会感觉到不适，重量也超轻，质量真的很棒！还有线控长度也是刚刚好的，质量是真的强硬，超喜欢呀~~推荐你们购买!!!
14,佩戴感受：美观大方 声音效果：清晰立体 外观材质：做工精细 特色功能：功能完善
15,声音效果：很清晰，效果可以 外观材质：一般，符合这个价位，比较喜欢这个保护耳机的。
16,非常满意我爱了超级喜欢
17,佩戴感受：耳朵不会痛 声音效果：非常好    很清晰 外观材质：包装很好  有种精致感 特色功能：好像摔不坏
18,爱了爱了 我一个寒假换了三个耳机 吃鸡的时候老是有电流声 这个耳机也是抱着侥幸的心态 没想到这么好！！！！一个耳机让我爱了爱了 佩戴感受：舒适❗ 声音效果：清晰❗ 外观材质：nice❗ 特色功能：good❗
19,佩戴感受：挺好的，可能已经习惯了，所以戴久了也不会有耳洞疼痛的感觉。 声音效果：我特别特别喜欢这款耳机的大音量，但是声音放到最大会漏音，但是还好。 外观材质：看起来挺好的，造型非常点大众化，摸起来很有质感。 特色功能：耳机用过一段时间后，（很可能是我喜欢把声音放到最大的原因）打电话会有电流声，会有一点点的尴尬。
20,佩戴舒服，音质尚可，这个价位还要啥自行车，做工算蛮精致了
21,佩戴感受：耳朵佩戴舒适，一天五小时课程 声音效果：听了用的还可以 外观材质：质量还不错
22,音质我觉得可以，这个价位买到这样的已经很不错了，包装也比较美观，没拆的时候忘记拍了，就是下图这个包装，总而言之，买了不亏。
23,买的是活动款，特地跟原装的对比了下效果，音质清晰，就是低音炮效果太重了点，整体好评，推荐购买
24,佩戴感受：音质也还行，性价比较高 外观材质：外观和材质都还不错，挺实惠的，
25,佩戴感受：舒适 声音效果：音质好 外观材质：可以 特色功能：可以
26,佩戴感受：非常好 声音效果：大 外观材质：非常好 特色功能：非常好 音质非常好，下次买耳机信任这一家，介绍朋友来这家买
27,再次回购非常满意！买了黑色和白色各一个，音质不错，价格实惠！推荐给大家！
28,回购款，买了好两次了。消耗品，可以多买一些以备不时之需。价格合理，坏了就换新的。
29,不说配送了，顺丰直接秒杀其他。然后包装也不错，佩戴的感觉也很好，可以说这个价格真的很值了 就不知道能用多久，先好评吧！
30,佩戴感受：舒适没有特别硬，耳朵也不疼 声音效果：特别棒，嗨的歌也很不错， 外观材质：特别简约，也好看，方便收拾，放包里不怕和别的东西饶一起弄烂了！
31,佩戴感受：戴起来挺舒服 声音效果：声音也特别不错 外观材质：材质很舒服
32,耳机收到了，单个都有塑料的包装盒，很精致，之前在这家买过数据线，觉得好又来了，价格也实惠，希望耐用
33,佩戴感受：舒适无痛 声音效果：声音清楚，质感好，无电音，漏音较小 外观材质：耳机线特别长，带麦的那种  特色功能：同款价位，我觉得这款耳机隔音还不错了
34,佩戴感受：感觉还不错 外观材质：挺高级的感觉 特色功能：可以调节音量
35,不错 佩戴感受：戴上很舒服  不会掉  音质也很好  喜欢的亲可以下单了哦
36,挺好用的，音质很好，这个价位很不错啦，可以入手的哦❤️比实体店的便宜好多，音质却差不多，还在犹豫什么呢？😉不过还是要看看耐不耐用呐
37,此用户没有填写评论!
38,佩戴感受：很舒服 声音效果：挺好 外观材质：不错 特色功能：不知道
39,佩戴感受：好像在影院一样， 声音效果：声音效果很好，环绕立体声的感觉，好像在电影院一样，
40,耳机确实不错，音质也不错，这个价位很划算，特地来推荐一下。（视频中的转接器是我自己的哈）
41,发货收货很快的，因为疫情没有及时去拿，拿到后试听效果很好👍，而且价格也很便宜。
42,很好用，小巧，好看，音质也不错。还有小盒子，能保护耳机，在包里不受磨损
43,质量挺好，声音清晰，上次买过一条，这次是第二次买，信的过，挺好的
44,本来以为因为疫情原因会推迟收货，没想到这么快，顺丰速度就是快，耳机刚试了，很好用，音质也不错，以后会再次光顾的。
45,声音效果：超棒 这是一款非常好的耳机哦，有想要的小伙伴要快点购买哦 非常值得购买 图二有点乱不要介意哈 哈哈哈
46,特色功能：音质挺好，包装精美，通话清晰，物流快，物美价廉哈哈😃
47,音质好，听了一首梅花泪，重低音很强。价格很实惠，物流也很快，疫情也没耽误发货两天就到了，而且顺丰送货上门，太满意了。 佩戴感受：舒服 声音效果：完美 外观材质：精细
48,能在疫情期间及时收到用来听网课听音乐什么的  物流速度很赞了 给顺丰点赞！耳机包装很棒 很爱这款 音质很奈斯👍对于一个爱音乐享受音质离不开耳机的人来说 这款是最好的选择 很值得购买的产品 而且客服态度特别好哦~😊
49,音质非常棒，灵敏度高、频响宽、低音厚实高音清晰、做工精细，当时我还担心这个价格的耳机音质会好吗？事实是我这个担心是多余的，我会推荐给身边的人！
50,包装很棒，白白的很漂亮，带着也很舒服，声音也很好，还可以通过耳机调节音量，非常非常喜欢。
51,这个耳机是我买过最差的 别的耳机买来最少用个一个星期，而这个耳机却是突破极限，只用了1天，左耳那个就没用了，3天后整个耳机沉默了，哪怕将音量调到最大也是一点声音都没有，还原装，我也就呵呵了  这原则品牌看到这么差的东西可能会被气吐血吧，你要仿制也仿制的好一下好吧
52,第二次购买了，自己感觉用着还不错，给爸妈都买了一个！质量比其他的也好挺多，很值！
53,耳机质量很好。建议大家购买。哈哈哈哈。音质好。超级超级超级超级好。非常非常非常非常好。超级good。
54,音质很好，低音效果明显。打电话非常清晰
55,声音效果：音质特别不错，耳机也炫酷，真的是太满意了！
56,很好看  物流竟然还挺快的  黑色白色两个都不错  会回购  推荐购
57,佩戴感受：佩戴刚刚好，很合适 声音效果：声音很流畅，没有什么卡顿 外观材质：外观很好看 特色功能：功能很好，按一下就关了
58,性价比特别高，音量调节简单且实用，非常开心的一次购物！
59,耳机特别好 音质也不错！可以调节音量！买来上网课用哈哈哈哈哈！特殊时期物流速度也非常快！太棒了
60,非常好，音质清晰，用过挺多家，这家还是可以，值得购买
61,宝贝超级好，音量也可以，没有杂音
62,包装精美，简约好用，非常棒！听起来很舒服
63,真的是超级值的呀，音质超清晰的了，而且隔音效果是真的好呀，戴上去基本听不到外面的声音了，质量也很强硬的，效果真的好，跟图片上描述的一模一样，耳机包装精致，是我喜欢的的包装。非常喜欢，喜欢的小伙伴们可以下单啦
64,这次耳机非常满意，耳机的质量音效都很不错，下次需要还会再来
65,感觉物超所值了😂，包装我挺喜欢的，特地过来评论就是感觉这个耳机不贵，体验感还不错。
66,价廉物美，做工精细，质量很好，听的音响功能，及麦克功能经实验都不错，电脑手机通用。
67,质量很好，音质也不错，这个价格能买到这样的耳机性价比很高了
68,包装严实，试了一下音效不错，跟实体店五六十的一样的，物美价廉
69,这个假期耳机丢了 ，街上找不到耳机卖，买了两条应急，先来说说哈，我一点都不气，一条耳机带上去还不够十分钟，就有电流声，非常大！另外一条青出于蓝胜于蓝，不仅有电流声，右边还是坏的，一点声音都没有！服了！！！给好评是不想被骚扰，就这几十块钱我也不想找店家了，唉
70,刚刚拿到也没有试用一下。看包装觉得应该挺好用的。质量应该也蛮好的。
71,宝贝包装精美，音质不错，一共买了两个，还会回购！
72,佩戴感受：好 声音效果：好 外观材质：特别好 特色功能：喜欢
73,耳塞收到了，买一送一，独立包装两个都是，喜欢的可以下手送人自己用都不错，价格实惠。
74,刚拿回来快递试了一下！音质非常好！包装也好精致！
75,耳机壳子很不错，保护性应该可以。
76,客服真的是态度超好！经久耐用，声音非常清晰，跟原装耳机一样，而且佩戴舒适，和店家描述的一样，性价比很高的商品，挺好的，听越久音质好像越来越好了质量强硬，&nbsp;我准备介绍我朋友也在这个店铺里买。快递物流很快，也很实惠
77,佩戴感受：舒服 声音效果：很棒 物流很快，耳机盒方便保存，价格也很实惠
78,质量真的很好哈哈哈哈 这次直接买了两条 之前买的一条不小心弄丢了哈哈哈哈 上次还帮同桌买了两条
79,耳机质量很好，音效不错，包装严密，值得推荐入手~
80,佩戴感受：很方便，带着舒服 声音效果：声音一点也不失真，很好听 外观材质：外面很漂亮。时尚 特色功能：功能很全面，很方便
81,特殊时期，物流的速度相比其他的要快很多很多。一直在他们家买耳机，价格便宜东西也很好使。两根能用很久
82,佩戴感受：很舒服，带不惯胶套那种 声音效果：很清晰 外观材质：时尚大方 特色功能：加减音量方便
83,这家件真的可以哦，耳机又便宜，音质还不错，有需要的话多买几个
84,已经是多次回购啦，以后耳机坏了依然还会回购的 贫民窟女孩的必背链接
85,收到宝贝迫不及待的打开来看，还挺好的，试了一下效果还挺好的
86,发的顺丰，2天就到了，物流好评！耳机质量也不错，可以线控，按一下是开始/暂停，按两下切歌。就冲这物流，买它！
87,耳机质量很好，音质不错，还配了个小盒子，携带方便，疫情其间，快递照样给力！
88,耳机非常好用，我已经是第三次回购了，这次是留着备用。必须好评，这是我这么多年用的寿命最长的一款耳机牌子
89,病毒的情况下这么快就收到了货，音质很好，价格实惠。很好的一次购物。
90,声音效果：很不错 外观好看，包装精美，的确非常nice
91,物美价廉 没有缺点 音质超好 清脆 实惠极了 真的找不出缺点来
92,第二次购买了，很喜欢这种类型的耳机，这次买了一副升级款的，耳机线要粗一些，功能也多了一个，声音效果也不错。快递也快～
93,第二次购买，性价比超高，声音大无杂音
94,这么便宜，能够买到音质这么好的耳机，真的是超乎我的想象。特别棒，品质也很好。买它！关键是他送了顺丰快递，快递真的特别快！！
95,佩戴感受：大小适中 声音效果：音效清楚隔音好 外观材质：白色清新 特色功能：可以调节音量大小
96,快递很快，耳机也很好，音质清晰，是用来看直播的，非常不错！
97,货到的很快，刚拆开还没有试用，不过看包装感觉超级棒呢
98,耳机很好用，我已经买第二次啦，而且十分的漂亮耐用，物美价廉，如果你喜欢，可以出手啦
99,宝贝不错 一次性买了两个 话筒和音质都不错 很棒
