no,comments
0,我对花间道还是比较认可的。第二次购买了，茶水分离是最大亮点，茶的浓度可以自己掌控了，清洗更加容易了，价格不贵。是个好杯子，很好看，玻璃也很厚很重。上下两端都可以打开。 这种设计很实用很方便。 茶叶有专门放置的位置水茶隔离，倒进开水还不烫手牛呀，这次买的茶水杯太值得了。
1,产品功能：方便泡茶，两边倒立不用担心茶泡的太浓。味道太苦！ 商品品质：不漏水（相对我自己的来说，别人买的不知道。） 外观材质：高硼硅玻璃，PP塑料。（说明是这样写的）
2,买的黑色款老公说喜欢棕色，客服给换了，给力，👍物流也快，前天买的，今天上午就收到了，很满意。应客服要求说一下自己的感受，给大家参考一下，杯子收到后，拆包，气泡膜包裹的很安全，还有小礼盒，送人的话可以用到，挺有档次，😁昨天收到货就马上试用，用热水烫一下，放茶，再放热水，把茶杯倒过来慢慢等着，大概过了一分钟茶水颜色有点变色了，就倒了点茶水喝，有一股清香而且不苦涩，跟以前不一样的是不用吐茶叶了呢，这茶水分离的&nbsp;设计相当不错，深合我意。😃
3,400毫升的感觉小了又加钱换了个更大的，现在很满意！以前老是泡茶泡太久而变的不喜欢去喝茶，现在好了有了这个杯子，不想喝太浓我就泡个5、6分钟就可以非常的方便！而且送的玻璃杯体也是跟盖子吻合的，盖上盖子之后用力摇晃也不会漏水，非常的耐用。就算现在疫情这么严重还是当天买当天发货，辛苦了！👍👍👍
4,杯子很厚啊，容量还是比较合理的，看宝贝介绍杯体容量是500ml多，喝了感觉也是够的，反正水多了长时间喝不完会凉，一次泡少一点水的话杯子小点更实在！拿起来也挺有质感的。泡茶方面还是很方便的，茶叶放在里面的仓里，然后再倒入开水，然后翻转杯身就可以开始泡茶了呢，看茶水的颜色变化判断浓度，对于没有茶具的爱茶人士来说简直神器。气密性方面目前没有漏水现象
5,平时一直用陶瓷的杯子喝水，就是携带不方便。自我隔离在家逛淘宝的时候偶然看见这个可以分离茶水的杯子，很新颖，收到货后，使用了一下，杯身很厚实光滑，茶水分离的设计，喝茶确实好方便，对于经常旅途奔波的我来说，能随时喝茶真是太好啦，不仅质量好，价格更加的公道！需要亲可以下手了。 &nbsp;
6,给同事买的。我自己大润发买了一款这种茶水分离的杯子花间道的，同事看着用着很方便想买一个，又没有时间去实体店，让我用淘宝给他买一个，我就找到了这款。收到后同事和我用的对比了一下一模一样，但价钱居然比我用的几乎便宜了一半，把店铺收藏了，以后再用就到这里买😻
7,杯子透明度都是很好的，没有杂质，杯体设计都是那种很简单的端杯，简简单单的很贴心，滤网的材质也很不错，有茶渍的时候，用牙膏刷洗下就干净了，喝进肚子里面的东西，材质是最主要的，收到的时候杯子打开没有异味，这个是让我非常惊讶的，密封性也很好，我拿着它到处走动，一点都不漏水，很喜欢好😛😛😛
8,此用户没有填写评论!
9,今天收到杯子，感觉超赞的，😁和描述的一样。这个杯子买来送老公的礼物，他经常出差，喝茶只能喝袋泡的，他是嗜茶的人，一天喝不到茶就难受，之前用了挺多茶杯了，都不怎么好。我也看了很多家最后选择了这家。泡大红袍简直完美，一正一倒就能出一杯好茶，一泡茶至少可以泡6次，茶仓设计的很科学。😊我给他买的是380ml而且容量也足够，关键是杯子并不是很重放在电脑包里也很好携带。双盖的设计还是蛮独特的，新颖。老公发来了几张图肯定是很满意不然早就不耐烦了哈哈哈~😜😜😜😜
