picLink,link,title,price,view_price,shop,shopLink,position,sales,icons
http://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/97352196/O1CN01Vu6OHC1S5oL6n1M2I_!!0-saturn_solar.jpg,https://click.simba.taobao.com/cc_im?p=%B1%CA%BC%C7%B1%BE%B5%E7%C4%D4&s=123303971&k=589&e=H%2FSaHUtIsY%2FXig3UC1%2BvFVnnBOtNYIqhSopDEnJxupCfPz2CGa3b55uNpJO5Bg0IvvCVDzM%2F3R%2FhE6EHffPtlkwAk22HKfZjd05TgTusNMe3gUbw%2FqDdtzL9D7isPDKPyLR08LPjB813h75bTji887QWnoPgf87rRfgIKiI%2F95FCor06avIOzs5tHgKXsn04JQh%2BnGUoIb%2BG2vYJqEuRUadJmX1%2B656SSSdd6MJAFc9JA0jIFo8iR377gw7Z21%2FsFTBCVUTrxCeCth%2FTeCuAt67J%2BsQ7p6hZBkyqDrqxD%2BHptyHB6wVf2shy6CZ5gIheq9FeG9%2FgTFWsuTOHKbJNWG%2Bn05whr1VOtSjsgPXyJactNVJsR023pHlogDNLoH4L%2FYWwr1L03ulf07yRC1r%2FPoIq43FmUhgrSxC81xDIYA3vL7%2F0YsrnV4GE0HTjdoLoUNPc7f0LdL46ts9jWMJjUffFNGevLMJQZqFGd303nMa4Auc3x8Up65QN9D7pfgyo8Fu4N0ghR1tIH9Vk50dV86MH5Pi9FRItzC1kIn9vkYMIx6LLP0PFGyCGTWvni0VyFt%2FB9Pu4R14%3D,【酷睿i7现货立发】 2019年新款MAINGEAR U953窄边框15.6英寸笔记本电脑轻薄便携学生女生商务办公金属游戏本,2719.00,0.00,maingear旗舰店,https://click.simba.taobao.com/cc_im?p=%B1%CA%BC%C7%B1%BE%B5%E7%C4%D4&s=123303971&k=557&e=zGGyKggtnQPXig3UC1%2BvFVnnBOtNYIqhSopDEnJxupCfPz2CGa3b55uNpJO5Bg0IvvCVDzM%2F3R8a19BpsYRaGkwAk22HKfZjd05TgTusNMe3gUbw%2FqDdtzL9D7isPDKPyLR08LPjB813h75bTji887QWnoPgf87rRfgIKiI%2F95FCor06avIOzs5tHgKXsn04JQh%2BnGUoIb%2BG2vYJqEuRUadJmX1%2B656SSSdd6MJAFc9JA0jIFo8iR377gw7Z21%2FsFTBCVUTrxCeCth%2FTeCuAt67J%2BsQ7p6hZBkyqDrqxD%2BHptyHB6wVf2shy6CZ5gIheq9FeG9%2FgTFWsuTOHKbJNWG%2Bn05whr1VOtSjsgPXyJactNVJsR023pHlogDNLoH4L%2FYWwr1L03ulf07yRC1r%2FPmfl5JXHWxXvdwZPtyPPx7MWc58uYA0hPl7%2BvPAtrPcsdvXA9DNDS7Rg7F9S4V2oKW3NUpmbQIk2hbm7oFvK5gp45wkxKFe4UdwDwohvVxM57U6cmUkC8nN2lRynefdcRuJyPX6K5MHEWecE601giqE%3D,广东 深圳,528人付款,掌柜热卖宝贝@#尚天猫，就购了
http://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2838892713/O1CN01BRoCqb1Vub70JrOyr_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=611562759574&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=7,【官方新品】华为/HUAWEI MateBook 14 2020款 Windows版 英特尔十代 i5+8GB/16GB+512GB SSD 独显笔记本电脑,5899.00,0.00,华为官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2838892713,广东 深圳,5500+人付款,尚天猫，就购了@#当季新品
http://g-search1.alicdn.com/img/bao/uploaded/i4/i1/686773455/O1CN01ATZCgw1bOQzaVEHnn_!!686773455-0-pixelsss.jpg,https://detail.tmall.com/item.htm?id=544644736754&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=7,【立省200】Asus/华硕VivoBook15s/14s V5000十代英特尔酷睿i5轻薄商务办公笔记本电脑15.6英寸官方旗舰店,4699.00,0.00,asus华硕官方旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=686773455,上海,3362人付款,尚天猫，就购了
http://g-search2.alicdn.com/img/bao/uploaded/i4/i1/17246197/O1CN01jQkcPG1veH0Mv2jc0_!!17246197.jpg,https://item.taobao.com/item.htm?id=607857326280&ns=1&abbucket=7#detail,Asus/华硕 Y4200高性能手提笔记本电脑 轻薄便携 学生办公用 商务,3499.20,0.00,hzp6294515,https://store.taobao.com/shop/view_shop.htm?user_number_id=17246197,广东 广州,1192人付款,金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心
http://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1873477928/O1CN01BBmhT028R4atqHf0b_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=577319927784&ns=1&abbucket=7,笔记本电脑桌床上可折叠懒人小桌子做桌寝室用学生宿舍神器书桌,9.50,0.00,都爱具尚旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=1873477928,山东 临沂,5.0万+人付款,尚天猫，就购了
http://g-search2.alicdn.com/img/bao/uploaded/i4/i2/880004424/O1CN01D8qhE31iYEmUvphAr_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=578123118095&ns=1&abbucket=7,床上小桌子笔记本电脑桌学生学习书桌可折叠简易做桌懒人家用写字,9.50,0.00,二姐之家家居旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=880004424,山东 临沂,2.0万+人付款,尚天猫，就购了
http://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3369881513/O1CN01qAcL8C1N2zpk1wCnq_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=592471271393&ns=1&abbucket=7,笔记本电脑桌可折叠床上小桌子学生宿舍懒人桌做桌寝室用神器书桌,29.90,0.00,标达旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3369881513,河北 廊坊,4656人付款,尚天猫，就购了@#公益宝贝
http://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2127299811/O1CN01n7wbDQ2MLUO0XrMAX_!!2127299811-0-pixelsss.jpg,https://detail.tmall.com/item.htm?id=522901270655&ns=1&abbucket=7,月烨简约卧室电脑台式家用办公写字书桌双人工作笔记本易装小桌子,75.00,0.00,月烨家居旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2127299811,江苏 徐州,3241人付款,尚天猫，就购了
http://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2200740929794/O1CN012Lu1RK2MDhedAQ3L1_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=591214823183&ns=1&abbucket=7,笔记本电脑可折叠床上简易轻便学生懒人宿舍寝室神器学习小书桌子,9.50,0.00,美宇佳家具旗舰店,https://store.taobao.com/shop/view_shop.htm?user_number_id=2200740929794,山东 临沂,1.5万+人付款,尚天猫，就购了
http://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3368975881/O1CN01d8N9a61tJXqc6jgCB_!!3368975881.jpg,https://item.taobao.com/item.htm?id=585857736852&ns=1&abbucket=7#detail,家用懒人床上书桌可调节沙发笔记本电脑桌升降移动写字小床边桌子,288.00,20.00,精双星天健店,https://store.taobao.com/shop/view_shop.htm?user_number_id=3368975881,河北 廊坊,799人付款,卖家提供以下贴心服务：@#公益宝贝
