author,authorLink,content,forward,forward,comments,fabulous,time,source
潇湘晨报,https://weibo.com/1655444627?refer_flag=1001030103_,【#长沙开学日期再次延迟#，3月9日起开展新学期教育教学】长沙市教育局下发通知，各中小学校开学时间需在3月2日后再次延迟，具体开学时间，将视疫情防控情况，经科学评估后确定。, 410, 410, 539,2649,02月26日 18:21,九亿少女的iPhone 11
叠个千纸鹤929,https://weibo.com/5691934963?refer_flag=1001030103_,周深✨ #周深歌手2020#甜甜的小✨什么时候才能分我一个一个摸🐟 ，可爱向快剪练习【就30s还越剪越水是因为某人的视频看着看着就停不下来了+拖延症晚期+即将开始无穷尽的加班生活【复工复学的大家都要加油鸭！🛋️ 男朋友专座🛋️ @卡布叻_周深L叠个千纸鹤929的微博视频 , 207, 207, 125,455,02月26日 12:41,周深超话
奋斗在韩国,https://weibo.com/1993305471?refer_flag=1001030103_,#韩国疫情# 【分享】关于韩国大学中国留学生疫情期间申请休学·复学、入境、宿舍等说明>>>O网页链接, 9, 9, 121,115,今天15:31,微博 weibo.com
高嵩的高山,https://weibo.com/1602708082?refer_flag=1001030103_,2分钟前 转赞人数超过100  来自 HUAWEI Mate 20, 3, 3, 107,165,2分钟前 转赞人数超过100,HUAWEI Mate 20
马岩Marks,https://weibo.com/1744027292?refer_flag=1001030103_,听听钟南山之外的声音吧。谁都爱惜羽毛，怕遭骂，怕好看的羽毛染上污点，但既然责任担当在那里，就不能只考虑自己。湖北以外什么时候可以全面复工复学，当然就是现在。 L马岩Marks的微博视频, 14, 14, 6,33,4分钟前 转赞人数超过30,保守主义のiPhone客户端
新浪广东,https://weibo.com/1684452940?refer_flag=1001030103_,【除湖北等疫情高发地区，其他地区人员到广东，不用健康证明了】2月27日，广东省新冠肺炎防控指挥办疫情防控组下发《关于进一步明确来粤人员健康证明有关问题的通知》，根据该通知，非疫情重点地区的来粤人员，将不再需要提供健康证明。根据通知，除湖北省等疫情高发地区，其他地区来粤人员进入广东省、省内出行食宿、复学复工复产等正常生产生活均不需要提供输出地疫情相关健康证明资料。对持湖北省等疫情高发地区身份证来粤人员，如能提供中国移动、中国电信和中国联通发布的个人轨迹证明信息，证明本人14天内未离开过广东、未到过疫情高发地的，可到社区（居委或村委）或本人所在单位申领证明。同时，本省各地，以及四川、湖南、江西、河南、海南、贵州、云南、广西自治区等与广东省建立健康监测互认工作机制的省（市、区），为新冠肺炎康复者、密切接触者、疫情高发地区来粤人员解除隔离观察者开具的出院证明、解除隔离通知书、健康申报证明、健康二维码等材料，各地、各有关用人单位均应予以认可。加强对来粤人员的健康管理，要求其抵粤14天内除上下班外不得外出，不得组织参与聚餐、聚会。出现发热等不适症状的送当地指定的医院排查治疗。via南都#广东抗击新型肺炎# 2广州 2广州 , 1, 1,,2,4分钟前,iPhone客户端
想做下一个崔雪莉,https://weibo.com/6056767094?refer_flag=1001030103_,我复学理由已经 满血复活 精力充沛 活力十足想要继续未完成的学业,,,,,8分钟前,前后2000万 OPPO R11
延安日报社,https://weibo.com/2482981913?refer_flag=1001030103_,【今日起，延安南泥湾机场恢复部分航线】为更好满足全国企业单位、学校有序复工复学的出行需求，延安南泥湾机场部分航班将陆续恢复。2月26日起，春秋航空恢复延安⇌上海航线，班期为每周一、三、五、日；东方航空恢复延安⇌西安航线，每天一班。其余航线也在陆续恢复中。据了解，目前在南泥湾机场乘坐国内航班不需要出具健康证明，机场对所有进出港旅客实施全面的体温检测，进港旅客需在机场候机楼到达口填写《来延人员个人信息填报》。同时，机场方面提醒乘客，西安飞往延安的乘客从即日起，可享受西安市区至咸阳机场巴士单程免费。另外，旅客从延安起飞，经西安中转，可前往全国各地，还可享受咸阳国际机场中转保障服务。延安市融媒体中心记者 谷嫦瑜通讯员 高彦龙 , 2, 2, 3,9,11分钟前 转赞人数超过10,微博 weibo.com
DS大彪,https://weibo.com/2288735533?refer_flag=1001030103_,到时中国都开始暑假补春天拉下的课，可能本子还没复学//@米格战斗飞机联合体:前几天玉米都吓懵逼了//@张洲:嗯嗯，这是一个“点”，日本学生开学了，你的孩子再开学就安全多了,,, 1,3,13分钟前,HUAWEI Mate 10
沈阳日报,https://weibo.com/1058106635?refer_flag=1001030103_,【明确了！非疫情高发地人员来粤不需要提供健康证明】2月27日，广东省卫生健康委公布了《广东省新冠肺炎防控指挥办疫情防控组关于进一步明确来粤人员健康证明有关问题的通知》（下称通知）。通知明确，除湖北省等疫情高发地区，其他地区来粤人员进入广东省、省内出行食宿、复学复工复产等正常生产生活均不需要提供输出地疫情相关健康证明资料。O快讯！非疫情高发区人员来粤不需要提供健康证明 2沈阳·太原街 ,,, 1,,27分钟前,iPhone 7 Plus
