author,authorLink,content,forward,forward,comments,fabulous,time,source
微博电视剧,https://weibo.com/5406006781?refer_flag=1001030103_,#今日剧焦点##剧组复工需考试# 为应对疫情，横店出台新规：剧组复工前需全员参加考试，且考至满分100分才能申请复工。目前《大江大河2》《有翡》《青簪行》《谢谢你医生》《亲爱的自己》《亲爱的戎装》《涩女郎》等多部剧正等待复工，你最想看到哪部呢？, 29196, 29196, 2917,744120,今天11:07,
澎湃新闻,https://weibo.com/5044281310?refer_flag=1001030103_,【复工记｜上海芭蕾舞团复工：戴着口罩身姿更显完美】#上海芭蕾舞团戴着口罩复工#2月1日结束美国巡演后，上海芭蕾舞团的演职人员们从芝加哥回到上海，就开始了和病毒比“闷”的居家隔离。目前，上海芭蕾舞团已恢复了日常的工作节奏。为了打赢这场战“疫”后能在舞台上璀璨绽放，“宅”家超过14天的近50位演员们分为5个班，开始于上下午分时段回归教室。排练室里，演员们戴着口罩起舞。O复工记②｜上海芭蕾舞团复工：戴着口罩身姿更显完美 , 77, 77, 110,433,今天17:21,微博 weibo.com
头条新闻,https://weibo.com/1618051664?refer_flag=1001030103_,【西安泡馍馆复工只售外卖 有顾客馋坏开车一小时来取餐】#专程开车一小时取泡馍外卖# 2月26日，陕西西安，西安一泡馍馆以外卖形式复工。工作人员介绍因疫情时期，不能堂食，所以新增了外卖服务，顾客也可以自己在店里取餐。有顾客表示作为“老陕”，泡馍是必吃之饭，疫情隔离到现在有一个多月没吃了，知道开门了专门开车一个多小时跑过来买。@时间视频 L时间视频的微博视频 , 38, 38, 2,186,24分钟前,微博 weibo.com
中国电影报道,https://weibo.com/1261788454?refer_flag=1001030103_,【电影频道播出《风雨无阻向前进》系列公益短片 为中国加油！】#万众一心打赢疫情防控阻击战#为了鼓舞各行各业有序复工复产，稳定发展，电影频道和中华全国工商业联合会宣教部今日正式推出系列公益短片《风雨无阻向前进》，雷军、徐冠巨、沈晖等数十位优秀企业家代表通过熟悉的电影台词激励大家在困境中开拓思路，以企业的家国情怀点亮中国经济不断前进道路上信心的明灯。 L中国电影报道的微博视频 , 176, 176, 43,567,02月26日 20:28,影视资讯 · 视频社区
人民网江西频道,https://weibo.com/3632086395?refer_flag=1001030103_,【南昌：政府“掏腰包” “返岗专机”千里接回务工人员】26日13时30分，江西航空RY6630航班平稳降落在南昌昌北机场，机上搭乘的全是江西省返岗职工。据悉，这是疫情防控期间，江西首趟复工复产包机，航班往返航程2800余公里。据了解，本次航班由南昌市高新区管委会统一包机，接运南昌欧菲光科技有限公司等单位返赣复工人员。同日下午，江西航空承运的第二批返赣复工人员包机抵达南昌，两个批次共计350余名务工人员。截至2月25日24时， 已有多个政企单位与江西航空确定了复工包机意向，包括兰州—南昌、银川-南昌、昆明-南昌等航班，预计出行人数千余人。据悉，“返岗专机”全程费用由政府负担，包机落地南昌昌北机场后，大巴会把员工接到指定地点，对每个人进行新型冠状病毒肺炎核酸检测采样，如果没有异常再上岗。#抗击疫情 江西在行动# O南昌：政府“掏腰包” “返岗专机”千里接回务工人员 , 2, 2,,10,40秒前 转赞人数超过10,搜狗高速浏览器
马岩Marks,https://weibo.com/1744027292?refer_flag=1001030103_,听听钟南山之外的声音吧。谁都爱惜羽毛，怕遭骂，怕好看的羽毛染上污点，但既然责任担当在那里，就不能只考虑自己。湖北以外什么时候可以全面复工复学，当然就是现在。 L马岩Marks的微博视频, 13, 13, 5,31,40秒前 转赞人数超过30,保守主义のiPhone客户端
南庭芥AI,https://weibo.com/6106092229?refer_flag=1001030103_,疫情结束后，我可能不太适合工作了？#复工后最尴尬的事情#, 207, 207, 207,453,1分钟前 转赞人数超过600,vivo NEX AI智慧旗舰
思想聚焦,https://weibo.com/1742566624?refer_flag=1001030103_,#复工后中国仓库超燃12小时# 这个视频满满的烟火气，看了很感动。我们熟悉的快递又回来了！L新浪科技的微博视频, 74, 74, 103,571,2分钟前 转赞人数超过500,微博 weibo.com
潘潘猫,https://weibo.com/1305972435?refer_flag=1001030103_,#宅家美食pk赛# 这道【时蔬红烩牛肉】很适合炖上一大锅，当天晚上吃一顿，盛到饭盒里配上饭很适合复工的同学带饭呢。根茎类的蔬菜适合带饭，像时蔬红烩牛肉、咖喱鸡这样的炖菜，剩下的再翻还会更有味呢。#开工便当大赛#分享做这道菜用的两个“秘密武器”，一个是山楂，一个是黄油。清炖牛肉时放入山楂不仅可以使牛肉熟得快，也可以除异味。黄油是在烩菜炝锅时用的，它可以让这道菜吃起来更浓郁，回味更悠长，每次我在做菜时用到黄油都会想到《美味关系》里的Julie & Julia @鲜城 , 3, 3, 1,5,8分钟前,微博 weibo.com
成都头条大事件,https://weibo.com/3859345028?refer_flag=1001030103_,#疫路同行 欧拉守护#助力复工，安全通勤21天免费用车关爱计划为爱开启守好战疫“最后一公里”#欧拉R1# #欧拉iQ##电动生活就欧拉#, 116, 116, 25,149,9分钟前,微博 weibo.com
圈大咖,https://weibo.com/6499730015?refer_flag=1001030103_,#吴亦凡益起来# 吴亦凡抗疫宣传VCR暖心凡凡代表即将复工返程的大家向专家医生提问返程途中应当怎样做好自我防护！保护好自己就是对自己和他人的负责，防疫健康，从我做起~和正能量艺人吴亦凡一起加油吧！ L圈大咖的微博视频, 108, 108, 108,207,10分钟前,吴亦凡超话
