author,authorLink,content,forward,forward,comments,fabulous,time,source
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6873,今天08:54,微博 weibo.com
微博媒体,https://weibo.com/5361563575?refer_flag=1001030103_,#等到能摘下口罩那一天#【战“疫”夫妻：万般思念一“线”牵】#天下英雄城南昌# 占雪琴是南昌市第三医院的一名工作人员，疫情期间，她每天都要对进入医院的病人及家属进行体温检查和信息排查，严格把好医院的“第一道防线”。而占雪琴的丈夫吴晓昇，早已作为南昌市第三医院第五批援助湖北医疗队队员奔赴武汉战“疫”一线。闲暇之余，他们只能通过视频聊天的方式聊上几句。 L南昌广播电视台的微博视频 ,,,,,3分钟前,iPhone客户端
苏金海轮,https://weibo.com/1418843255?refer_flag=1001030103_,如何评价新型冠状病毒感染肺炎疫情控制效果？本地人被传染新冠肺炎病例数/外来输入新冠肺炎病例数,,,,,2秒前,HUAWEI P20
文明开封市政管理,https://weibo.com/3601681177?refer_flag=1001030103_,#疫情防控 开封在行动# 疫情就是命令，防控就是责任。市政管理处自2月5日至今每天选派6名党员及志愿者准时到顺河区苹果园办事处苹北社区3个防疫卡点进行执勤，他们每天和社区工作人员一起对进出人员进行登记，测量体温，严控病毒流入的可能，同时细致做好每一名进入车辆的信息登记工作。与此同时，我处志愿者积极对社区群众开展防疫常识宣传，进一步提高群众自我防护意识，坚定战胜疫情的信念和信心。疫情在哪里，市政管理处志愿者就要战斗在哪里！参与值守的志愿者表示能参加这场防疫的战斗中非常光荣，让我们一起行动起来，在党中央国务院的坚强领导下，坚定信心，众志成城，齐心协力打赢这场没有硝烟的保卫生命健康之战！@文明开封 @文明河南 @中国文明网 ,,,,,3秒前,360安全浏览器
高原驿站1号生活,https://weibo.com/5636211954?refer_flag=1001030103_,疫情结束后，青海将成为最佳的旅游目的地之一#青海 #旅游 2西宁·大通回族土族自治县 L高原驿站1号生活的微博视频,,,,,3秒前,华为手机 畅享玩不停
猫警官,https://weibo.com/1567106610?refer_flag=1001030103_,3秒 转赞人数超过10  来自 iPhone X,,, 1,10,3秒 转赞人数超过10,iPhone X
让股票飞,https://weibo.com/2558216414?refer_flag=1001030103_,今日大盘表现如下5大特征：1、科技股上午强势震荡，有的触及跌停，进而导致创业板单日振幅5%；2、科技股大震荡，直接刺激今日两市成交量达到1.4万亿；3、指数V攻，但两市个股涨跌比3:7，分加剧化；4、两市合计涨停中近40%是低于7元的低价股，补涨特征明显；5、科技白马分化，受益日韩疫情而存在涨价预期的继续强势。 #股票# #股市# ,,,,,4秒前,微博 weibo.com
EUTOPOS林子路,https://weibo.com/1304600361?refer_flag=1001030103_,宅在北京的家想起小时候守在奶奶身边剥豆子的时光美好的愿望是疫情之后忠于生活实际的情形必是疫情之后疯狂加速#抗疫行动#,,,,,4秒前,iPhone XS Max
JOEY洋总,https://weibo.com/5910263633?refer_flag=1001030103_,疫情还没结束 坚持不聚会 生日还是要吃蛋糕的 祝我自己生日快乐 嘻嘻嘻 2百色,,,,,6秒前,iPhone客户端
央视军事,https://weibo.com/6189120710?refer_flag=1001030103_,【又一批！#部队援助物资运抵武汉#】根据军委国防动员部统一部署，由河北省军区筹措的第3批支援武汉抗击疫情的援助物资今天运抵江城。驻鄂部队抗击疫情运力支援队第一时间将物资送往火神山医院、中部战区总医院等10个抗疫一线医疗点位。#为武汉加油#（记者李迎新 邢澎峰）,,,,,5秒前,微博 weibo.com
新华视点,https://weibo.com/1699432410?refer_flag=1001030103_,#新型冠状病毒感染肺炎#【#疫情防控分区分级精准施策#】在25日召开的#国务院联防联控机制#新闻发布会上，国家发展改革委社会司司长欧晓理表示，目前各地疫情发展态势不尽相同，需要分类指导、精准施策。所谓分区、分级、精准复工复产，就是对湖北省、北京市以外的地区依据疫情严重程度，以县级为单位划分为低风险地区、中风险地区和高风险地区三类。 L新华视点的微博视频 , 14, 14, 16,41,5秒 转赞人数超过30,微博视频
南川消防,https://weibo.com/5398946779?refer_flag=1001030103_,【延期三年的婚礼 我与你共同等待】郑雅祺，南川区南城消防救援站的一名普通消防员，加入消防队伍的9年来，他用汗水和泪水书写着消防人的坚守。庚子鼠年春节，新冠病毒疫情袭击全国。为迎战“新冠”疫情，本该穿上帅气的西装，手捧鲜花站在婚礼舞台的他，推迟假期，取消婚礼，换上火焰蓝制服，坚守在工作岗位上，默默投身这场没有硝烟的疫情防控阻击战。 ,,,,,6秒前,UC浏览器电脑版
榴槤Durian,https://weibo.com/1780681032?refer_flag=1001030103_,今日份开心 🥳终于有项目找上门，有活儿干了抱住了国家的大腿，饭碗有了品了一个多月都没品过的咖啡，满意ps.疫情期间的打的日常,,,,,6秒前,iPhone
湖南卫视,https://weibo.com/1638629382?refer_flag=1001030103_,#同江同湖同舟共济##湖南防控新型肺炎# 判断疫情结束的标准是什么？我们一起继续努力吧！ L湖南卫视的微博视频,,, 12,16,6秒 转赞人数超过10,
深圳特区报,https://weibo.com/1893278624?refer_flag=1001030103_,【用人单位新冠肺炎疫情应急处理工作流程】O网页链接,,,,,8秒前,iPhone X
邀您看三山,https://weibo.com/3257891674?refer_flag=1001030103_,安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应O安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应,,,,,9秒前,微博 weibo.com
潍坊晚报,https://weibo.com/1802564537?refer_flag=1001030103_,【潍坊高密出台七项措施支持外贸企业应对疫情稳定发展】#潍坊全民总动员，坚决打赢防疫阻击战#2月25日，潍坊晚报记者采访了解到，潍坊高密市为了支持辖区内的外贸企业有力应对疫情，健康稳定发展，专门出台了七项措施对这些企业进行政策扶持，暂定执行时间至2020年6月20日。据悉，接下来高密市将针对外贸企业加大出口信用保险支持力度。对投保出口信用保险的企业，按实际缴纳保费的20%给予补贴；同时将实施原产地证书“不见面申领”。向潍坊海关申请原产地证书的企业，可通过晟绮港储国际物流公司“国际贸易单一窗口”或“互联网+海关”一体化网上办事平台自助打印；再就是及时出具不可抗力证明。受疫情影响无法如期履行或不能履行国际贸易合同的企业，可通过高密市商务局向潍坊市贸促会申请出具不可抗力事实性证明。另外，鼓励企业通过电子商务平台开展业务。对利用电子商务平台开展外贸业务实际发生的推广费用给予补助；同时，还将提供便捷出口退（免）税服务。加快出口退税进度，确保及时足额退税。还将加大金融支持力度。鼓励各银行业金融机构进一步压降成本费率，降低外贸企业的综合融资成本，积极开展贷款展期业务；还将切实减轻企业负担。对在疫情期间承租国有企业或国有控股企业经营用房的进出口企业，免收2020年上半年房租。（潍坊晚报记者 赵春晖 通讯员 王翔 编辑 冯媛媛 审核 李东杰） ,,,,,9秒前,微博 weibo.com
南宁晚报,https://weibo.com/2685336121?refer_flag=1001030103_,【最近，骗子可能会这样骗你】#抗击疫情公安在行动# 近期，各地已陆续复工复产，但骗子却从未下线，大家不仅要全力防疫，还要……好好防骗！（西南铁警）L广州公安的微博视频,,,,,10秒前,微博 weibo.com
乌兰察布广播电视台微博,https://weibo.com/5538374437?refer_flag=1001030103_,#乌兰察布头条# 【《逆行者》 礼敬防疫一线的逆行者】有一种力量，叫众志成城；有一种感动，叫守望相助；在抗击新冠肺炎疫情的这场战役中，土默特左旗的各族儿女，携手挺立在战“疫”一线，筑起守护百姓安康的“防护墙”。致敬每一位“逆行者”，有你们，这一仗，一定赢！（作者：中共土默特左旗委员会、土默特左旗人民政府）（点击链接了解详情O网页链接） L乌兰察布广播电视台微博的微博视频 ,,,,,9秒前,专业版微博
新浪厦门,https://weibo.com/1740522895?refer_flag=1001030103_,#防抗新型冠状病毒肺炎#【守卫心理防线赢战“疫”！厦门全市心理咨询热线公布】#2020一定赢# 疫情当前，铺天盖地的信息以及严密的防控措施让一部分人感到焦虑和紧张。照顾好自己的情绪是第一免疫力。为打赢这场战“疫”，先从守卫心理防线开始！为此，厦门一批服务机构开放咨询热线。疫情之下，每一颗心都需要被呵护，请大家关心身边人，及时疏导，一起迎接战“疫”的胜利！通过自评量表，先对自己的健康情况做一个判断吧~O网页链接 （台海网） ,,,,,9秒前,微博 weibo.com
思想聚焦,https://weibo.com/1742566624?refer_flag=1001030103_,#在家努力学习的乡村孩子#看不出牌子的电视机和手机当课堂，空旷的院子当教室，几条简易凳子当书桌，今天被网上几张乡村孩子努力学习的照片感动到泪目。整个春节以来，全国人民的心情都因为疫情笼罩上一层阴云，但尽管如此，还是有很多人逆着困境努力生活，照片中的乡村孩子就是这样。“千磨万击还坚韧”，说的就是他们吧！ , 4, 4, 1,27,9秒 转赞人数超过30,微博 weibo.com
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6873,今天08:54,微博 weibo.com
苏金海轮,https://weibo.com/1418843255?refer_flag=1001030103_,如何评价新型冠状病毒感染肺炎疫情控制效果？本地人被传染新冠肺炎病例数/外来输入新冠肺炎病例数,,,,,4秒前,HUAWEI P20
凤凰网视频,https://weibo.com/1806128454?refer_flag=1001030103_,#医生摘口罩为晕倒老人做人工呼吸#【河南8旬老人超市晕倒， 路过医生摘口罩跪地人工呼吸救人】2月24日，河南禹州市某小区超市，一位八旬老人晕倒在地。罗现科医生刚好路过，见状他立马上前抢救，发现老人无呼吸、无心跳、瞳孔散大，当即对其进行胸外心脏按压，并摘下口罩为老人做人工呼吸。罗医生不顾疫情，对老人进行数次人工呼吸，直到救护车赶来。当被问到“疫情期间做人工呼吸怕不怕”时，罗医生说：“说实话犹豫了一下，但来不及多想，作为医生知道遇到这种情况该做什么。”#医生摘口罩为老人做人工呼吸##风视频#O网页链接 L凤凰网视频的微博视频 , 9, 9, 14,146,3秒 转赞人数超过100,微博视频
文明开封市政管理,https://weibo.com/3601681177?refer_flag=1001030103_,#疫情防控 开封在行动# 疫情就是命令，防控就是责任。市政管理处自2月5日至今每天选派6名党员及志愿者准时到顺河区苹果园办事处苹北社区3个防疫卡点进行执勤，他们每天和社区工作人员一起对进出人员进行登记，测量体温，严控病毒流入的可能，同时细致做好每一名进入车辆的信息登记工作。与此同时，我处志愿者积极对社区群众开展防疫常识宣传，进一步提高群众自我防护意识，坚定战胜疫情的信念和信心。疫情在哪里，市政管理处志愿者就要战斗在哪里！参与值守的志愿者表示能参加这场防疫的战斗中非常光荣，让我们一起行动起来，在党中央国务院的坚强领导下，坚定信心，众志成城，齐心协力打赢这场没有硝烟的保卫生命健康之战！@文明开封 @文明河南 @中国文明网 ,,,,,5秒前,360安全浏览器
渭南日报社,https://weibo.com/1994238825?refer_flag=1001030103_,【不打烊 保供应 稳价格 献爱心 渭南市药店战“疫”有温度】据不完全统计，疫情爆发以来全市共组织采购各类口罩90余万只、防护服20000余套、75%酒精150吨、消毒液120吨及其各种防疫药品投入到防疫一线当中。O渭南发布｜不打烊 保供应 稳价格 献爱心 渭南市药店战“疫”有温度,,,,,5秒前,搜狗高速浏览器
高原驿站1号生活,https://weibo.com/5636211954?refer_flag=1001030103_,疫情结束后，青海将成为最佳的旅游目的地之一#青海 #旅游 2西宁·大通回族土族自治县 L高原驿站1号生活的微博视频,,,,,5秒前,华为手机 畅享玩不停
猫警官,https://weibo.com/1567106610?refer_flag=1001030103_,5秒 转赞人数超过10  来自 iPhone X,,, 1,10,5秒 转赞人数超过10,iPhone X
让股票飞,https://weibo.com/2558216414?refer_flag=1001030103_,今日大盘表现如下5大特征：1、科技股上午强势震荡，有的触及跌停，进而导致创业板单日振幅5%；2、科技股大震荡，直接刺激今日两市成交量达到1.4万亿；3、指数V攻，但两市个股涨跌比3:7，分加剧化；4、两市合计涨停中近40%是低于7元的低价股，补涨特征明显；5、科技白马分化，受益日韩疫情而存在涨价预期的继续强势。 #股票# #股市# ,,,,,6秒前,微博 weibo.com
EUTOPOS林子路,https://weibo.com/1304600361?refer_flag=1001030103_,宅在北京的家想起小时候守在奶奶身边剥豆子的时光美好的愿望是疫情之后忠于生活实际的情形必是疫情之后疯狂加速#抗疫行动#,,,,,6秒前,iPhone XS Max
央视军事,https://weibo.com/6189120710?refer_flag=1001030103_,【又一批！#部队援助物资运抵武汉#】根据军委国防动员部统一部署，由河北省军区筹措的第3批支援武汉抗击疫情的援助物资今天运抵江城。驻鄂部队抗击疫情运力支援队第一时间将物资送往火神山医院、中部战区总医院等10个抗疫一线医疗点位。#为武汉加油#（记者李迎新 邢澎峰）,,,,,7秒前,微博 weibo.com
新华视点,https://weibo.com/1699432410?refer_flag=1001030103_,#新型冠状病毒感染肺炎#【#疫情防控分区分级精准施策#】在25日召开的#国务院联防联控机制#新闻发布会上，国家发展改革委社会司司长欧晓理表示，目前各地疫情发展态势不尽相同，需要分类指导、精准施策。所谓分区、分级、精准复工复产，就是对湖北省、北京市以外的地区依据疫情严重程度，以县级为单位划分为低风险地区、中风险地区和高风险地区三类。 L新华视点的微博视频 , 14, 14, 16,41,7秒 转赞人数超过30,微博视频
